CustomerId,CustomerName,ItemId,ItemName,ItemUnitPrice,OrderSize,AmountPaid
1,Australia,217,WeaponsSystem217,2,25,50
1,Australia,183,WeaponsSystem183,6,9,64
2,Seychelles,355,WeaponsSystem355,3,20,60
3,Fiji,99,WeaponsSystem99,5,3,15
3,Fiji,217,WeaponsSystem217,2,10,20
4,Turkey,160,WeaponsSystem160,5,20,100
4,Turkey,45,WeaponsSystem45,3,10,40
5,Jordan,100,WeaponsSystem100,2,4,8
5,Jordan,57,WeaponsSystem57,3,5,15
6,SKorea,81,WeaponsSystem81,5,8,40
6,SKorea,217,WeaponsSystem217,2,26,52
7,Djibouti,107,WeaponsSystem107,3,15,45
7,Djibouti,30,WeaponsSystem30,4,4,16
7,Djibouti,355,WeaponsSystem355,3,5,15
8,India,217,WeaponsSystem217,2,36,72
8,India,99,WeaponsSystem99,5,120,600
8,India,45,WeaponsSystem45,3,20,60





