CustomerId,CustomerName,ItemId,ItemName
1,Australia,99,WeaponsSystem99
1,Australia,101,WeaponsSystem101
2,Seychelles,89,WeaponsSystem89
2,Seychelles,217,WeaponsSystem217
3,Fiji,160,WeaponsSystem160
3,Fiji,217,WeaponsSystem217
4,Turkey,183,WeaponsSystem183
4,Turkey,100,WeaponsSystem100
4,Turkey,160,WeaponsSystem160
8,India,217,WeaponSystem217
5,Jordan,99,WeaponsSystem99
5,Jordan,355,WeaponsSystem355
6,SKorea,107,WeaponsSystem107
6,SKorea,217,WeaponsSystem217
7,Djibouti,57,WeaponsSystem57
7,Djibouti,355,WeaponsSystem355
7,Djibouti,183,WeaponsSystem183
8,India,45,WeaponsSystem45
8,India,81,WeaponsSystem81
8,India,160,WeaponsSystem160
8,India,355,WeaponsSystem355
